Hanzi 汉字,Pinyin 拼音,Meaning
弦,xián,bow string; string of musical instruments
衔接,xiánjiē,to join together; to combine
嫌,xián,to dislike; suspicion; grudge
嫌疑,xiányí,suspicion; (be) suspected (of)
显著,xiǎnzhù,notable; marked; outstanding; remarkable
现场,xiànchǎng,scene (of event or incident); on the spot
现成,xiànchéng,ready-made; off-the-shelf
现状,xiànzhuàng,current situation; status quo
线索,xiànsuǒ,trail; clues; hints; thread (of a story)
宪法,xiànfǎ,constitution; charter
陷害,xiànhài,cast blame on; to frame
陷阱,xiànjǐng,trap; snare
陷入,xiànrù,sink into; get caught up in; land in (a predicament)
馅儿,xiànr,stuffing; filling
乡镇,xiāngzhèn,village and town
相差,xiāngchà,differ; difference
相等,xiāngděng,be equal to; equally; equivalent
相辅相成,xiāngfǔxiāngchéng,supplement and complement each other
相应,xiāngyìng,correspond; relevant
镶嵌,xiāngqiàn,inlay
响亮,xiǎngliàng,loud and clear; resounding
响应,xiǎngyìng,respond to; answer
想方设法,xiǎng fāng shè fǎ,(saying) think of or try every possible method; by all means possible
向导,xiàngdǎo,guide
向来,xiànglái,always; all along
向往,xiàngwǎng,yearn for; look forward to
巷,xiàng,lane; alley
相声,xiàngsheng,comic dialogue; crosstalk
削,xuē,to pare/peel with a knife; to cut; to chop
消除,xiāochú,eliminate; remove; clear up (abstract things）
消毒,xiāo dú,disinfect; sterilize
消防,xiāofáng,fire-fighting; fire prevention and control
消耗,xiāohào,use up; consume
消灭,xiāomiè,eliminate; perish; wipe out
销毁,xiāohuǐ,destroy (by melting or burning)
潇洒,xiāosǎ,free and easy
小心翼翼,xiǎoxīn yìyì,carefully; cautiously; with great care
肖像,xiàoxiàng,portrait
效益,xiàoyì,benefit；results
协会,xiéhuì,an association; a society
协商,xiéshāng,consult with; talk things over
协调,xiétiáo,coordinate; harmonize
协议,xiéyì,agreement; pact; protocol
协助,xiézhù,assist; to help
携带,xiédài,take with; portable
泄露,xièlòu,leak (information); divulge
泄气,xièqì,despair; feel like giving up/disappointing; pathetic
屑,xiè,crumbs; filings; worth while
谢绝,xièjué,politely refuse
心得,xīndé,knowledge gained
心甘情愿,xīngānqíngyuàn,totally willing; perfectly happy to
心灵,xīnlíng,heart; soul; smart; quick-witted
心态,xīntài,pyschology; mentality; spirit
心疼,xīnténg,love dearly; the pain of love
心血,xīnxuè,heart and blood; painstaking effort; meticulous care
心眼儿,xīnyǎnr,one's thoughts; mind; intention; willingness to accept new ideas
辛勤,xīnqín,hardworking; diligent; industrious
欣慰,xīnwèi,be gratified; satisfied
欣欣向荣,xīnxīn xiàng róng,flourishing; thriving; prosperous
新陈代谢,xīn chén dàixiè,metabolism (bio); (saying) the new replaces the old
新郎,xīnláng,bridegroom; groom
新娘,xīnniáng,bride
新颖,xīnyǐng,new and original; novel
薪水,xīnshuǐ,salary; wage; pay; stipend
信赖,xìnlài,trust; have confidence in; confide
信念,xìnniàn,faith; belief; conviction
信仰,xìnyǎng,firm belief; faith; believe in (a religion)
信誉,xìnyù,reputation; prestige; trust
兴隆,xīnglóng,prosperous; flourishing
兴旺,xīngwàng,prosperous; thriving; to prosper
腥,xīng,fishy (smell)
刑事,xíngshì,criminal; penal
行政,xíngzhèng,administration; administrative
形态,xíngtài,shape; form; pattern
兴高采烈,xìng gāo cǎi liè,in high spirits
兴致勃勃,xìngzhìbóbó,in high spirits
性感,xìnggǎn,sex appeal; sexy; sexuality
性命,xìngmìng,life
性能,xìngnéng,function; performance
凶恶,xiōng'è,fierce; ferocious; menacing
凶手,xiōngshǒu,murderer; assassin; assailant
汹涌,xiōngyǒng,(used in reference to an ocean; river; lake etc.) violently surge up; turbulent
胸怀,xiōnghuái,think about; heart; one's bosom (the seat of emotions); breast; broad-minded and open
胸膛,xiōngtáng,chest
雄厚,xiónghòu,abundant; strong and solid; rich
雄伟,xióngwěi,grand; majestic
修复,xiūfù,restoration; repair
修建,xiūjiàn,to build; to construct; renovate
修养,xiūyǎng,accomplishment; self-cultivation
羞耻,xiūchǐ,(a feeling of) shame
绣,xiù,embroider; embroidery
嗅觉,xiùjué,sense of smell; scent
须知,xūzhī,prerequisites; knowledge requirement
虚假,xūjiǎ,false; phony; pretense; deceit
虚荣,xūróng,vanity
虚伪,xūwěi,false; hypocritical; artificial; sham
需求,xūqiú,requirement; demand (economics)
许可,xǔkě,allow; permit; permission
序言,xùyán,preface of a book; used to explain the book's objective
畜牧,xùmù,raise animals
酗酒,xùjiǔ,heavy drinking; drink to excess; binge drink
宣誓,xuān shì,swear an oath (of office); make a vow
宣扬,xuānyáng,publicize; make public or well known
喧哗,xuānhuá,cause a scene
悬挂,xuánguà,suspend; hang; suspension (cable car)
悬念,xuánniàn,reader's involvement; suspense in a movie; place etc
悬殊,xuánshū,a wide gap; big contrast; large disparity; a mismatch
悬崖峭壁,xuányáqiàobì,cliffside
旋律,xuánlǜ,melody; tune; rhythm
旋转,xuánzhuǎn,to whirl; to spin; rotate
选拔,xuǎnbá,select the best; choose
选举,xuǎnjǔ,elect; election
选手,xuǎnshǒu,athlete; contestant; player
炫耀,xuànyào,to show off; flaunt
削弱,xuēruò,weaken; to cripple
学说,xuéshuō,theory; doctrine
学位,xuéwèi,academic degree; educational level
雪上加霜,xuěshàngjiāshuāng,(literally) add frost to snow; one disaster after another; insult added to injury
血压,xuèyā,blood pressure
熏陶,xūntáo,to influence (positively)
寻觅,xúnmì,to seek; to look for
巡逻,xúnluó,to patrol (police; army or navy)
循环,xúnhuán,circular cycle; loop; circulate
循序渐进,xún xù jiàn jìn,make steady progress incrementally; step by step program
压迫,yāpò,oppress
压岁钱,yāsuìqián,gifts of money given to children during the Spring Festival
压缩,yāsuō,to compress
压抑,yāyì,constrain or repress one's emotions; inhibition; repressive
压榨,yāzhà,to press; to squeeze; to extract juice; oil; etc. by squeezing
压制,yāzhì,suppress; inhibit; stifle
鸦雀无声,yāquèwúshēng,not even a crow or sparrow can be heard (idiom); silence reigns
亚军,yàjūn,second place; runner-up
烟花爆竹,yānhuābàozhú,fireworks and crackers
淹没,yānmò,submerge; drown; to flood
延期,yán qī,delay; extend; postpone
延伸,yánshēn,extend; spread; stretch
延续,yánxù,continue; last longer
严寒,yánhán,bitter cold; severe winter
严禁,yánjìn,strictly prohibit; forbid
严峻,yánjùn,grim; severe; rigorous; harsh
严厉,yánlì,strict; severe
严密,yánmì,strict; closely-knit; tight
言论,yánlùn,expression of (political) opinion; speech
岩石,yánshí,rock; stone
炎热,yánrè,blistering hot; sizzling hot (weather)
沿海,yánhǎi,coastal
掩盖,yǎngài,conceal; cover up; hide behind
掩护,yǎnhù,cover; shield; screen
掩饰,yǎnshì,conceal a fault; gloss over
眼光,yǎnguāng,vision
眼色,yǎnsè,a wink; signal with one's eyes
眼神,yǎnshén,expression or emotion showing in one's eyes
演变,yǎnbiàn,develop; evolve
演习,yǎnxí,rehearse; practice; put on a play
演绎,yǎnyì,deduction; to deduce; to infer
演奏,yǎnzòu,give an instrumental performance
厌恶,yànwù,loathe; to hate; detest
验收,yànshōu,inspect and then accept (i.e. received goods
验证,yànzhèng,inspect and verify
氧气,yǎngqì,oxygen
样品,yàngpǐn,sample; specimen
谣言,yáoyán,rumor
摇摆,yáobǎi,to waver; to wag; to sway
摇滚,yáogǔn,rock and roll
遥控,yáokòng,remote control
遥远,yáoyuǎn,distant; remote
要点,yàodiǎn,main point; essential
要命,yàomìng,cause somebody's death; very; extremely; frighteningly; annoyance
要素,yàosù,essential factor; key constituent
耀眼,yàoyǎn,dazzle; to shine
野蛮,yěmán,barbarous; uncivilized; cruel; wild
野心,yěxīn,ambition; wild schemes or ambitions; careerism
液体,yètǐ,liquid
一度,yídù,for a time; at one time; one time; once
一帆风顺,yìfānfēngshùn,(saying) smooth sailing
一贯,yíguàn,consistent; constant; from start to finish; then as now
一举两得,yìjǔliǎngdé,kill two birds with one stone; (literally) attain two objectives with a single move
一流,yīliú,top-grade
一目了然,yímùliǎorán,obvious at a glance
一如既往,yìrújìwǎng,just as in the past (idiom); as before; continuing as always
一丝不苟,yìsībùgǒu,(literally) not one thread loose; strictly according to the rules; meticulous
一向,yíxiàng,all along; the whole time; constantly; always
衣裳,yīshang,clothes
依旧,yījiù,as before; still
依据,yījù,according to; basis; foundation
依靠,yīkào,rely on; depend on
依赖,yīlài,depend on; be dependent on
依托,yītuō,rely on; depend on
仪器,yíqì,apparatus; (scientific) instrument
仪式,yíshì,ceremony
遗产,yíchǎn,heritage; legacy
遗传,yíchuán,inherit; hereditary
遗留,yíliú,legacy; left over; hand down
遗失,yíshī,lose; lose due to carelessness
疑惑,yíhuò,(a sense of) uncertainty; to feel unsure about something; uncertainty
以便,yǐbiàn,so that; in order to
以免,yǐmiǎn,so as not to; in order to avoid; lest
以往,yǐwǎng,in the past; formerly
以至,yǐzhì,down to; up to; to such an extent as to...
以致,yǐzhì,so that; as a result
亦,yì,also
异常,yìcháng,exceptional; abnormal
意料,yìliào,expectation; to anticipate; to think ahead
意识,yìshi,realize; consciousness; awareness; sense
意图,yìtú,intent; intention; intend
意味着,yìwèizhe,signify; to mean; imply
意向,yìxiàng,will; intent; disposition
意志,yìzhì,will; willpower; determination
毅力,yìlì,willpower; perseverance; will; stamina; tenacity
毅然,yìrán,without hesitation; resolutely; firmly
翼,yì,wings; fins on fish; shelter
阴谋,yīnmóu,a plot; a conspiracy
音响,yīnxiǎng,(Electronic) speakers; acoustics; sound field (i.e.; in a room or theater)
引导,yǐndǎo,to guide; to conduct; introduction
引擎,yǐnqíng,engine
引用,yǐnyòng,quote; cite
饮食,yǐnshí,food and drink; diet
隐蔽,yǐnbì,conceal; hide; covert; under cover; Take cover!
隐患,yǐnhuàn,hidden danger
隐瞒,yǐnmán,conceal; hide; (a taboo subject); cover up the truth
隐私,yǐnsī,privacy; personal secret
隐约,yǐnyuē,vague; faint; indistinct
英明,yīngmíng,wise; brilliant
英勇,yīngyǒng,bravery; heroic; valiant; gallant
婴儿,yīng'ér,baby infant
迎面,yíng miàn,face to face; headlong; in one's face
盈利,yínglì,profit; gain
应酬,yìngchou,socialize with; a social engagement
应邀,yìngyāo,at sb.'s invitation
拥护,yōnghù,to support; endorse
拥有,yōngyǒu,have; possess
庸俗,yōngsú,filthy; vulgar; debased
永恒,yǒnghéng,eternal; everlasting
勇于,yǒngyú,have the courage to; be brave enough
涌现,yǒngxiàn,spring up; emerge prominently
踊跃,yǒngyuè,eager; enthusiastically
用户,yònghù,user; consumer; subscriber; customer
优胜劣汰,yōushèngliètài,survival of the fittest
优先,yōuxiān,priority; preferential
优异,yōuyì,exceptional; excellent; outstandingly good
优越,yōuyuè,superior; superiority
忧郁,yōuyù,melancholy; dejected
犹如,yóurú,just as; similar to; appearing to be
油腻,yóunì,greasy or oily (food)
油漆,yóuqī,oil paint; varnish
有条不紊,yǒutiáobùwěn,in an orderly way; methodically; systematically; methodical
幼稚,yòuzhì,childish; naïve; immature
诱惑,yòuhuò,tempt; temptation; entice; lure; attract
渔民,yúmín,fisherman; fisher folk
愚蠢,yúchǔn,silly; stupid
愚昧,yúmèi,ignorant; benighted
舆论,yúlùn,public opinion
与日俱增,yǔrìjùzēng,grow with each passing day
宇宙,yǔzhòu,universe; cosmos
羽绒服,yǔróngfú,down jacket
玉,yù,jade (Kangxi radical 96)
预料,yùliào,anticipate; to forecast; expectation
预期,yùqī,expect; expected; anticipate
预算,yùsuàn,budget
预先,yùxiān,beforehand; prior
预言,yùyán,predict; prophecy
预兆,yùzhào,omen; sign
欲望,yùwàng,desire; lust
寓言,yùyán,fable
愈,yù,recover; heal; the more ... the more
冤枉,yuānwang,to wrong; injustice; not worthwhile
元首,yuánshǒu,head of state
元素,yuánsù,element; element of a set; chemical element
元宵节,Yuánxiāo Jié,the Lantern Festival
园林,yuánlín,gardens; park; landscape
原告,yuángào,plaintiff; complainant; accuser
原理,yuánlǐ,principle; theory
原始,yuánshǐ,first; original; primitive
原先,yuánxiān,former; original
圆满,yuánmǎn,satisfactory
缘故,yuángù,reason; cause
源泉,yuánquán,headspring; fountainhead; water source
约束,yuēshù,restrict; limit to; constrain; restriction
乐谱,yuèpǔ,sheet music
岳母,yuèmǔ,wife's mother; mother-in-law
孕育,yùnyù,be pregnant; to produce offspring; nurture (a development; school of thought; artwork; etc.)
运算,yùnsuàn,(mathematical) operation
运行,yùnxíng,movement; be in motion; run
酝酿,yùnniàng,mull over (an issue); hold a preliminary round of exploratory discussions
蕴藏,yùncáng,hold in store; contain untapped quantities
熨,yùn,iron; press
杂技,zájì,acrobatics
杂交,zájiāo,create a hybrid; cross-fertilize
砸,zá,to smash; to pound; to break; fail
咋,zǎ,how/why (contraction of 怎么)
灾难,zāinàn,disaster; catastrophe
栽培,zāipéi,grow; educate; cultivate
宰,zǎi,slaughter; butcher; govern; rule; imperial official in dynastic China
再接再厉,zàijiēzàilì,continue the struggle; persist; unremitting efforts
在意,zài yì,care about; mind; care
攒,zǎn,save; hoard
暂且,zànqiě,for the moment; for the time being; temporarily
赞叹,zàntàn,sigh or grasp in admiration; highly praise
赞助,zànzhù,support; sponsor
遭受,zāoshòu,suffer; suffering; be subjected to (something unfortunate)
遭殃,zāo yāng,to suffer a calamity; go through a disaster
遭遇,zāoyù,befall; suffer; encounter
糟蹋,zāotà,waste; ruin; wreck; spoil; slander
造型,zàoxíng,make a model; to mold
噪音,zàoyīn,uproar; rumble; noise; static
责怪,zéguài,blame; rebuke
贼,zéi,thief
增添,zēngtiān,add to; increase
赠送,zèngsòng,give as a present
扎,zhā,to prick; push a needle into; penetrating
扎实,zhāshi,strong; sturdy; practical
渣,zhā,dregs; slag
眨,zhǎ,wink; blink
诈骗,zhàpiàn,defraud; swindle; blackmail
摘要,zhāiyào,summary; abstract
债券,zhàiquàn,bond
沾光,zhān guāng,bask in the light; benefit from association with sth.; reflected glory
瞻仰,zhānyǎng,look at with reverence; admire
斩钉截铁,zhǎn dīng jié tiě,to chop the nail and slice the iron (idiom); resolute and decisive; definitely
展示,zhǎnshì,open up; reveal; to display
展望,zhǎnwàng,outlook; prospect; to look ahead; look forward to
展现,zhǎnxiàn,come out; emerge; express; show
崭新,zhǎnxīn,brand new
占据,zhànjù,occupy; hold; inhabit
占领,zhànlǐng,occupy (a territory); capture; seize
战斗,zhàndòu,to fight; to battle; to struggle
战略,zhànlüè,strategy
战术,zhànshù,(military) tactics
战役,zhànyì,military campaign; battle
章程,zhāngchéng,written rules; statute; regulations; charter of a corporation
帐篷,zhàngpeng,tent
障碍,zhàng'ài,barrier; obstacle
招标,zhāobiāo,to beckon; to invite bids
招收,zhāoshōu,recruit; take in; to hire
朝气蓬勃,zhāo qì péng bó,full of youthful energy (idiom); full of vigour and vitality; energetic; spirited; a bright spark
着迷,zháomí,to be fascinated
沼泽,zhǎozé,marsh; swamp; glade; wetlands
照样,zhàoyàng,as before; (same) as usual
照耀,zhàoyào,to shine; illuminate
折腾,zhēteng,toss from side to side (e.g. sleeplessly); do something over and over again; cause suffering; play crazy; screw around
遮挡,zhēdǎng,shelter from; keep out
折,zhé,to break; to fracture; convert into; to fold
折磨,zhémo,persecute; to torture
侦探,zhēntàn,detective
珍贵,zhēnguì,precious
珍稀,zhēnxī,rare; precious and uncommon
珍珠,zhēnzhū,pearl
真理,zhēnlǐ,truth
真相,zhēnxiàng,the actual facts; reality
真挚,zhēnzhì,sincere; sincerity; genuine
斟酌,zhēnzhuó,Consider; deliberate
枕头,zhěntou,pillow
阵地,zhèndì,position; battlefront
阵容,zhènróng,line-up; troop arrangement
振奋,zhènfèn,stir oneself up; raise one's spirits; inspire
振兴,zhènxīng,develop vigorously; promote; revive; revitalize; invigorate; re-energize
震撼,zhènhàn,to shake
震惊,zhènjīng,shock; astonish; amaze
镇定,zhèndìng,cool; calm; unperturbed
镇静,zhènjìng,calm; cool; tranquil
正月,zhēngyuè,the first month of the lunar calendar
争端,zhēngduān,dispute; controversy; conflict
争夺,zhēngduó,fight over
争气,zhēng qì,work hard for sth.; determined not to fall short
争先恐后,zhēng xiān kǒng hòu,striving to be first; compete with each other
争议,zhēngyì,controversy; dispute; contention
征服,zhēngfú,conquer; subdue
征收,zhēngshōu,levy (fine); impose (tariff)
挣扎,zhēngzhá,to struggle
蒸发,zhēngfā,evaporate; evaporation
整顿,zhěngdùn,organize; consolidate
正当,zhèng dāng,timely; just when; (dàng) proper
正负,zhèngfù,positive and negative; plus-minus
正规,zhèngguī,formal; regular; according to standards
正经,zhèngjing,decent; serious; standard; really
正气,zhèngqì,healthy environment; healthy atmosphere
正义,zhèngyì,justice; righteous
正宗,zhèngzōng,authentic; orthodox; old school
证实,zhèngshí,confirm; verify
证书,zhèngshū,certificate; credentials
郑重,zhèngzhòng,serious; solemn
政策,zhèngcè,policy
政权,zhèngquán,regime; political power; authority
症状,zhèngzhuàng,symptom (of an illness)
之际,zhījì,during; at the time of; the time when something happens
支撑,zhīchēng,support; prop up; crutch; brace
支出,zhīchū,spend; pay out; expense
支流,zhīliú,tributary; minor aspect; offshoot
支配,zhīpèi,to control
支援,zhīyuán,to support; assist; aid
支柱,zhīzhù,pillar; prop; mainstay; backbone
枝,zhī,branch; twig; (mw for sticks; rods; pencils)
知觉,zhījué,perception; consciousness; feeling
知足常乐,zhīzúchánglè,content with what one has
脂肪,zhīfáng,body fat
执行,zhíxíng,implementation; carry out; execute
执着,zhízhuó,to refuse to change one's viewpoint
直播,zhíbō,live broadcast (not recorded)
直径,zhíjìng,diameter
侄子,zhízi,nephew; brother's son or daughter
值班,zhí bān,be on duty; work a shift
职能,zhínéng,function; role
职位,zhíwèi,(professional) position
职务,zhíwù,post; a position; job; duties
殖民地,zhímíndì,colony
指标,zhǐbiāo,target; norm; index; indicator
指定,zhǐdìng,appoint; designate
指甲,zhǐjia,fingernail
指令,zhǐlìng,order; command; instruction
指南针,zhǐnánzhēn,compass
指示,zhǐshì,indicate; instruct; instructions
指望,zhǐwàng,hope for; count on; hope
指责,zhǐzé,to censure; criticize; find fault with
志气,zhìqì,ambition; resolve; backbone; drive; spirit
制裁,zhìcái,punish; (economic) sanctions
制服,zhìfú,uniform; to subdue; to bring under control
制约,zhìyuē,restrict; condition
制止,zhìzhǐ,to curb; to put a stop to
治安,zhì'ān,law and order; public security
治理,zhìlǐ,to bring under control; to govern; to manage
致辞,zhìcí,make/deliver a speech
致力,zhìlì,work for; devote one's efforts
致使,zhìshǐ,cause; result in
智力,zhìlì,intelligence; intellect
智能,zhìnéng,intelligent; capability; smart (phone; system; bomb; etc.)
智商,zhìshāng,IQ (intelligence quotient)
滞留,zhìliú,detain; retention
中断,zhōngduàn,interrupt; break off
中立,zhōnglì,neutral; neutrality
中央,zhōngyāng,central; middle; center
忠诚,zhōngchéng,honest; loyalty; devoted
忠实,zhōngshí,faithful; dependable
终点,zhōngdiǎn,the end; end point; destination; finish line (in a race)
终究,zhōngjiū,in the end; after all is said and done; eventually
终身,zhōngshēn,lifelong
终止,zhōngzhǐ,stop; cease; terminate (legal)
衷心,zhōngxīn,heartfelt; wholehearted; cordial
肿瘤,zhǒngliú,tumor; neoplasm
种子,zhǒngzi,seed
种族,zhǒngzú,race; ethnicity
众所周知,zhòng suǒ zhōu zhī,as everyone knows; (saying) as is known to everyone
种植,zhòngzhí,plant; grow; crop
重心,zhòngxīn,center of gravity; central core; main part
舟,zhōu,boat (Kangxi radical 137)
州,zhōu,province; sub-prefecture; (United States) state
周边,zhōubiān,surrounding
周密,zhōumì,meticulous; careful; thorough
周年,zhōunián,anniversary; annual
周期,zhōuqī,period; cycle; rhythm
周折,zhōuzhé,setback; twists and turns; problem; complication
周转,zhōuzhuǎn,turnover (in cash or personnel); have enough resources to cover a need
粥,zhōu,porridge; congee; gruel
昼夜,zhòuyè,day and night; continuously without stop
皱纹,zhòuwén,wrinkle; furrow
株,zhū,stem; root; trunk; (mw for plants)
诸位,zhūwèi,(pronoun) everyone; ladies and gentlemen
逐年,zhúnián,year after year; on an annual basis
主办,zhǔbàn,to host (a conference or sports event)
主导,zhǔdǎo,leading; dominant; guiding
主管,zhǔguǎn,person in charge of (a position; etc.); preside over; Chief Operating Officer (COO)
主流,zhǔliú,main stream (of a river); the essential point
主权,zhǔquán,sovereignty
主义,zhǔyì,-ism; ideology
拄,zhǔ,post; lean on a stick; prop
嘱咐,zhǔfù,enjoin; to tell; exhort
助理,zhùlǐ,assistant
助手,zhùshǒu,assistant; helper
住宅,zhùzhái,residence; tenement
注射,zhùshè,injection; inject (medicine)
注视,zhùshì,watch attentively; gaze at; stare
注释,zhùshì,annotate; annotation; note; make notes in the margin
注重,zhùzhòng,pay attention; emphasize; put stress on
驻扎,zhùzhā,to station; to garrison (troops)
著作,zhùzuò,work; book; writing
铸造,zhùzào,cast (pour metal into a mold)
拽,zhuài,drag; haul
专长,zhuāncháng,specialty; special knowledge or ability
专程,zhuānchéng,special-purpose trip
专利,zhuānlì,patent
专题,zhuāntí,special topic; questions; special matter or subject
砖,zhuān,brick
转达,zhuǎndá,pass on; convey; communicate
转让,zhuǎnràng,transfer (technology; good; etc.); make over
转移,zhuǎnyí,to shift; divert; migrate
转折,zhuǎnzhé,turning point; shift in the trend of events; plot twist in a book
传记,zhuànjì,biography
庄稼,zhuāngjia,farm crops
庄严,zhuāngyán,stately; dignified
庄重,zhuāngzhòng,grave; solemn; dignified
装备,zhuāngbèi,equipment; to equip; to outfit
装卸,zhuāngxiè,load and unload; to transfer
壮观,zhuàngguān,spectacular; grand (of buildings; monuments; scenery; etc.)
壮丽,zhuànglì,magnificence; splendid; majestic
壮烈,zhuàngliè,brave and honorable
幢,zhuàng,(mw for houses; buildings); tent
追悼,zhuīdào,mourning; memorial (service; etc.)
追究,zhuījiū,investigate; look into; find out
坠,zhuì,fall; drop
准则,zhǔnzé,principle; standard or norm; criterion
卓越,zhuóyuè,distinction; excellence; splendid
着手,zhuóshǒu,put one's hand to; commence
着想,zhuóxiǎng,give consideration to; consider (other people's) needs
着重,zhuózhòng,put emphasis on; to stress
琢磨,zuómo,ponder; (also zhuómó: to polish (gems or literary works))
姿态,zītài,attitude; posture; stance
资本,zīběn,(Economics) capital; asset
资产,zīchǎn,property; assets
资深,zīshēn,experienced; senior
资助,zīzhù,subsidy; provide financial aid
滋润,zīrùn,quenched; moist
滋味,zīwèi,taste; flavor; the way one feels
子弹,zǐdàn,bullet; cartridge
自卑,zìbēi,feel inferior; be self-abased
自发,zìfā,spontaneous; unprompted
自力更生,zì lì gēng shēng,(idiom) self reliance
自满,zìmǎn,complacent; self-satisfied
自主,zìzhǔ,independent; to act for oneself; autonomous
宗教,zōngjiào,religion
宗旨,zōngzhǐ,purpose; objective; aim; goal
棕色,zōngsè,brown (the color)
踪迹,zōngjì,tracks; trail; footprint; trace; vestige
总而言之,zǒngéryánzhī,in short; in a word
总和,zǒnghé,sum
纵横,zònghéng,able to move unhindered; length and breadth
走廊,zǒuláng,corridor; hallway
走漏,zǒulòu,leak (information; liquid; etc); divulge; reveal
走私,zǒu sī,smuggle; have an illicit affair
揍,zòu,(informal) beat; hit; (regional) smash; break
租赁,zūlìn,rent; lease
足以,zúyǐ,sufficient to ...; so much so that; sufficiently
阻碍,zǔ'ài,obstruct; hinder; impede
阻拦,zǔlán,to stop; obstruct; block off
阻挠,zǔnáo,thwart; to obstruct (something); stand in the way
祖父,zǔfù,paternal grandfather
祖国,zǔguó,homeland; motherland; fatherland
祖先,zǔxiān,ancestor; forbearer
钻研,zuānyán,study intensively; delve into
钻石,zuànshí,diamond
嘴唇,zuǐchún,lip
罪犯,zuìfàn,criminal
尊严,zūnyán,dignity; sanctity; honor
遵循,zūnxún,follow; abide by
作弊,zuòbì,practice fraud; cheat
作废,zuòfèi,cancellation; delete; to nullify; to expire and thus lose validity
作风,zuòfēng,work style; way
作息,zuòxī,work and rest
座右铭,zuòyòumíng,motto
做主,zuòzhǔ,decide; take the responsibility for a decision
